neighborhood,sqft_living,sqft_lot,bedrooms,bathrooms,floors,has_basement,basement_sqft,garage_cars,has_pool,year_built,house_age_years,renovated,condition_score,quality_grade,school_rating,crime_rate_per_1000,dist_city_center_km,dist_school_km,dist_hospital_km,property_tax_rate_pct,hoa_monthly_usd,market_trend,price_usd
Suburbs,1693,8114,4,2,3.0,1,815,1,0,2014,10,0,8,4,3.9,4.21,7.44,4.51,8.6,1.247,0,Rising,644500
Rural,1207,8497,2,2,2.0,0,0,2,0,1989,35,0,8,2,3.0,5.43,37.31,15.0,23.13,1.025,0,Rising,381100
Waterfront,2140,10109,3,2,2.0,0,0,2,0,1987,37,0,8,5,6.3,1.74,3.74,2.06,6.78,1.247,588,Stable,663800
Waterfront,3475,4362,6,4,2.0,0,0,2,0,1991,33,0,9,5,5.6,2.74,14.43,5.82,10.16,1.114,272,Rising,959000
Rural,3791,10155,6,4,1.0,1,985,0,0,1986,38,0,6,2,2.3,8.51,24.73,10.91,15.6,1.169,0,Rising,750000
Industrial,2437,7298,3,2,3.0,0,0,2,0,2005,19,1,10,2,2.0,6.97,15.29,7.83,13.46,0.995,0,Stable,576400
Downtown,1289,2696,3,1,1.5,0,0,2,0,2020,4,0,10,4,6.4,1.02,2.36,1.36,2.61,1.287,476,Rising,519900
Suburbs,4359,6453,8,6,1.5,0,0,2,0,2004,20,1,9,3,5.3,6.44,11.47,5.43,11.1,1.023,106,Rising,900800
Downtown,3549,11138,6,3,1.0,1,699,2,0,2003,21,1,10,3,6.2,2.44,1.04,0.93,2.11,1.373,239,Declining,831900
Rural,2703,7825,5,3,1.5,0,0,2,0,1971,53,0,7,2,4.1,7.99,22.74,9.12,18.31,1.05,0,Stable,665400
Industrial,965,6612,3,2,2.5,0,0,2,0,1976,48,0,5,3,2.3,7.83,15.93,8.17,10.65,1.155,106,Stable,331800
Suburbs,4175,10697,7,5,2.0,1,1108,1,0,1996,28,1,8,3,4.8,3.99,14.82,6.2,9.24,1.258,106,Rising,1048900
Industrial,4799,6810,8,5,3.0,1,1260,2,0,1987,37,1,10,2,1.0,8.24,15.35,7.67,13.89,0.738,0,Stable,889000
Downtown,4772,8155,8,5,1.5,0,0,2,1,1988,36,0,8,4,5.0,2.03,0.78,1.01,1.3,1.31,161,Stable,975600
Industrial,4925,8922,8,5,2.0,1,1231,3,1,1964,60,0,6,2,2.7,6.73,16.03,6.97,14.34,1.074,106,Stable,850200
Suburbs,2978,8356,5,3,2.0,1,539,0,0,2015,9,0,9,3,5.3,3.53,19.15,9.54,15.61,1.22,0,Stable,795800
Downtown,1805,7451,2,1,2.5,1,347,2,0,2010,14,0,9,5,4.8,2.68,1.11,1.76,1.08,1.253,399,Stable,622100
Suburbs,4439,11687,8,4,2.0,1,1480,1,0,2009,15,0,10,4,4.6,4.82,16.99,8.17,12.42,1.137,0,Rising,1091600
Suburbs,3335,5179,6,4,1.5,1,1467,1,0,1957,67,1,8,4,6.2,4.82,13.14,6.78,8.25,1.153,0,Rising,884600
Suburbs,3947,8115,7,4,1.0,0,0,2,1,1993,31,0,8,3,4.6,2.3,12.88,5.83,9.38,1.296,0,Stable,961400
Suburbs,2275,5191,4,2,1.0,1,1174,2,1,1992,32,1,9,4,5.7,3.52,19.43,8.9,13.42,1.303,0,Rising,753300
Waterfront,898,1288,1,1,2.0,0,0,0,1,1955,69,1,8,5,6.2,2.06,4.56,2.36,5.73,1.238,112,Declining,401200
Suburbs,1556,7075,3,2,3.0,0,0,2,0,1976,48,0,6,3,5.1,4.87,17.46,8.65,15.36,1.077,106,Stable,542900
Suburbs,1714,3249,3,1,1.0,1,900,2,1,1994,30,1,10,4,4.0,2.49,12.72,6.29,8.48,1.282,0,Stable,573200
Rural,3105,8108,5,3,1.0,1,972,3,0,1972,52,0,7,2,1.9,7.1,52.43,15.0,30.0,1.123,0,Stable,547300
Rural,2074,5380,4,2,1.0,0,0,1,1,1962,62,0,6,3,3.5,4.9,25.87,12.15,18.46,1.051,0,Stable,413600
Suburbs,4326,4904,7,5,2.0,1,1398,2,0,2017,7,0,9,3,4.9,4.46,18.85,8.7,12.17,1.058,0,Stable,916900
Suburbs,4071,8753,6,4,1.5,1,335,2,0,2013,11,0,9,3,4.7,5.5,17.62,8.04,14.13,0.987,0,Stable,868000
Downtown,3428,7457,5,3,1.0,0,0,1,0,1974,50,0,6,4,4.7,1.44,1.36,0.61,2.83,1.305,373,Stable,793300
Suburbs,3450,10030,6,3,1.5,1,522,2,0,2001,23,1,8,4,4.4,4.46,9.75,5.72,10.6,1.099,0,Declining,711100
Rural,3106,3921,6,3,2.0,0,0,2,0,1997,27,1,10,3,2.6,6.03,40.37,15.0,27.37,0.971,0,Declining,560000
Suburbs,4370,10208,7,4,2.0,0,0,0,1,2010,14,0,10,3,4.3,2.99,13.57,6.55,9.96,1.197,0,Rising,921000
Suburbs,3564,6094,6,3,2.0,0,0,3,0,1966,58,1,8,5,4.8,2.7,7.91,4.05,8.34,1.1,0,Stable,859000
Rural,1549,7893,2,1,1.0,0,0,2,0,1989,35,0,7,2,3.5,5.4,42.91,15.0,29.94,0.98,0,Declining,380400
Downtown,3450,5404,7,4,2.0,0,0,2,0,2018,6,0,10,4,5.9,1.94,1.85,1.28,5.11,1.157,244,Stable,930200
Rural,765,1428,3,2,1.0,0,0,2,0,1975,49,0,6,2,3.1,6.0,58.49,15.0,30.0,1.096,0,Stable,211700
Suburbs,4086,11683,8,5,1.0,1,797,2,1,2005,19,0,9,3,4.7,3.65,17.59,7.29,12.64,1.056,0,Stable,1062100
Industrial,3109,4275,6,4,2.0,1,810,2,0,1989,35,0,7,1,2.2,7.59,10.61,6.08,8.63,0.828,0,Rising,640100
Suburbs,1519,5986,3,2,1.0,1,1002,2,0,2017,7,0,8,3,4.1,5.14,9.62,4.2,7.71,1.055,0,Rising,580000
Waterfront,713,4071,1,1,2.0,0,0,3,1,1957,67,0,6,4,6.0,0.67,4.19,3.17,4.07,1.394,183,Stable,405500
Rural,4104,7928,7,4,1.0,0,0,1,1,2022,2,0,9,2,3.5,5.95,47.84,15.0,30.0,0.967,0,Stable,780700
Downtown,1591,7033,2,1,1.0,1,1140,1,0,1994,30,1,9,5,5.6,1.78,0.76,0.76,0.52,1.274,121,Rising,684000
Rural,4439,9577,8,5,2.5,1,305,2,0,1966,58,1,9,2,2.4,4.95,29.43,12.89,19.13,0.994,0,Rising,761400
Industrial,1858,7475,1,1,2.0,0,0,1,0,1990,34,1,8,2,1.5,5.2,9.31,5.25,6.29,0.955,0,Rising,509000
Rural,4026,10230,7,5,2.0,0,0,2,0,1958,66,0,6,1,2.3,4.28,25.19,11.53,15.76,1.162,106,Declining,729400
Waterfront,1114,2003,2,1,2.5,0,0,2,0,2019,5,0,10,5,5.2,1.88,10.18,4.54,7.49,1.263,592,Stable,457400
Industrial,3796,6618,7,4,2.0,1,1460,3,1,1973,51,1,8,3,4.4,7.55,9.08,4.29,9.26,1.142,0,Stable,874500
Suburbs,3184,8987,7,4,2.0,1,1211,2,0,2022,2,0,10,4,4.1,4.63,15.91,8.1,14.39,1.344,0,Rising,793800
Suburbs,667,3079,1,1,2.0,0,0,2,0,1960,64,0,5,3,4.6,2.9,10.81,5.77,9.06,1.308,0,Stable,300500
Rural,2196,8516,3,2,1.0,0,0,1,0,1984,40,0,7,2,2.9,4.87,58.99,15.0,30.0,0.973,106,Declining,449700
Suburbs,618,6636,1,1,1.0,0,0,2,0,1978,46,0,7,3,5.7,4.45,17.02,7.35,14.36,1.168,0,Stable,316500
Waterfront,3330,3912,7,5,2.0,1,1491,2,1,1957,67,0,5,4,6.3,1.98,9.2,5.26,5.86,1.398,383,Stable,859800
Industrial,4121,6577,7,4,1.0,0,0,2,0,1966,58,0,6,2,2.6,8.15,24.97,10.7,15.45,1.055,106,Stable,624900
Suburbs,1172,5182,1,1,1.0,0,0,1,0,2020,4,0,9,5,4.8,2.83,5.71,3.09,5.15,1.266,106,Rising,487500
Suburbs,2858,6561,4,2,1.0,1,751,1,0,1961,63,1,10,4,4.9,1.94,14.9,6.54,11.18,1.275,0,Rising,790700
Waterfront,3502,5114,6,3,1.0,1,1465,2,0,1999,25,0,9,4,6.2,3.23,13.45,5.62,12.06,1.38,462,Rising,978100
Suburbs,1250,3033,2,1,1.0,0,0,2,1,1973,51,0,7,4,4.2,1.9,19.42,8.61,16.28,1.052,0,Rising,469100
Waterfront,3187,9754,5,3,1.0,1,402,2,0,1986,38,0,8,4,5.4,0.77,9.96,4.02,8.63,1.245,544,Rising,943300
Suburbs,3862,10208,6,4,1.0,1,341,2,0,1960,64,0,6,3,4.7,3.36,14.12,6.56,10.95,1.086,0,Stable,777900
Rural,1938,2509,2,2,1.0,1,1246,1,0,2008,16,0,8,3,2.6,5.91,38.49,15.0,24.16,1.014,0,Rising,459700
Downtown,4234,10240,8,6,2.0,0,0,2,0,2004,20,1,10,4,5.8,3.64,1.75,2.62,3.31,1.247,380,Declining,871200
Rural,3427,9192,5,3,1.0,0,0,2,0,1976,48,0,8,4,2.2,5.03,21.88,8.91,17.75,1.036,0,Rising,658500
Suburbs,2817,3627,4,2,3.0,1,1242,1,0,2016,8,0,9,4,3.6,5.75,14.84,6.5,10.87,1.091,0,Declining,648700
Rural,4139,4454,7,4,2.5,0,0,2,1,2009,15,0,8,2,2.1,4.43,38.17,15.0,23.96,0.899,0,Rising,801000
Suburbs,1637,9274,1,1,2.0,1,1361,2,0,1951,73,1,10,3,4.6,3.72,10.19,4.42,7.8,0.998,0,Stable,622100
Rural,4983,5629,8,5,2.0,1,801,2,0,2017,7,0,9,3,1.9,7.25,37.88,15.0,25.3,1.208,0,Rising,854800
Industrial,4578,6169,8,5,1.5,0,0,2,1,1967,57,0,7,1,3.7,8.14,12.03,5.72,10.21,1.099,0,Stable,806100
Suburbs,3561,7085,5,3,1.0,1,651,1,1,1969,55,0,6,3,6.0,0.62,6.54,3.78,6.09,1.184,0,Declining,804800
Downtown,3826,5366,6,4,3.0,1,625,3,1,2012,12,0,9,4,6.3,6.17,2.85,2.78,5.5,0.939,555,Stable,958700
Downtown,1698,6408,2,1,1.0,1,1361,2,1,2021,3,0,9,5,5.4,2.53,1.48,2.59,3.81,1.143,294,Rising,621300
Rural,2924,10386,5,3,3.0,0,0,2,0,1951,73,1,6,2,2.7,6.58,53.31,15.0,30.0,1.075,106,Rising,630700
Rural,1539,7643,4,2,2.0,1,407,3,0,1991,33,1,9,2,3.2,5.85,49.28,15.0,30.0,1.11,106,Rising,461800
Suburbs,4316,7455,7,3,1.0,1,930,2,0,1977,47,1,8,4,5.1,6.73,17.86,8.64,15.04,1.119,106,Rising,977000
Suburbs,4014,9357,7,4,2.0,1,450,2,0,1978,46,0,8,4,4.9,5.71,13.66,6.54,9.21,1.206,0,Declining,780400
Suburbs,2048,5947,3,2,2.0,1,1397,2,1,2018,6,0,9,5,3.7,6.7,5.89,3.26,6.65,1.141,0,Rising,811500
Rural,1170,8176,2,2,1.0,0,0,2,0,1977,47,0,6,3,2.9,6.82,20.94,10.25,16.15,1.139,0,Stable,358000
Suburbs,3504,9673,7,5,1.5,1,1177,2,0,2009,15,0,10,4,5.0,5.26,14.25,7.1,9.28,1.146,0,Rising,958500
Industrial,3105,4378,5,3,2.0,1,634,0,1,1954,70,1,8,1,1.0,5.83,14.91,7.33,13.16,0.968,0,Rising,654200
Downtown,1517,9386,4,2,2.0,0,0,0,0,1964,60,0,7,5,4.9,2.6,0.83,0.36,1.4,1.175,221,Declining,513100
Rural,2474,7487,5,3,1.0,1,1066,2,0,2022,2,0,9,3,3.4,7.35,33.37,15.0,24.02,1.101,0,Rising,641800
Suburbs,2278,6047,4,2,1.0,1,558,0,0,1981,43,1,9,5,4.4,4.55,10.25,5.69,6.96,1.192,106,Rising,695400
Suburbs,1215,6869,2,2,2.5,0,0,1,0,2001,23,0,9,4,4.4,4.29,10.04,4.61,9.73,1.034,0,Stable,445600
Rural,2349,5699,5,2,2.0,0,0,2,0,1986,38,1,9,2,3.8,5.32,36.07,15.0,22.38,1.064,106,Rising,618900
Rural,4425,6230,7,4,2.0,1,625,0,1,1964,60,0,6,2,3.0,7.65,27.73,11.2,18.53,1.044,0,Rising,880000
Industrial,4788,12182,8,5,3.0,1,1136,1,0,1990,34,1,8,2,2.0,8.46,15.75,6.4,10.17,1.071,106,Stable,931500
Downtown,3077,9691,7,4,1.0,1,990,2,1,1953,71,0,5,4,5.5,4.17,1.42,1.91,2.21,1.216,252,Declining,805800
Downtown,4105,8962,7,4,2.0,0,0,2,0,2002,22,0,9,4,5.5,3.27,1.77,1.08,5.98,1.128,508,Stable,938600
Rural,4075,11222,7,5,2.5,0,0,2,0,1976,48,0,7,2,2.4,6.26,25.86,12.19,16.05,0.98,0,Declining,760800
Rural,1735,4229,4,3,2.0,0,0,2,0,1970,54,1,6,2,2.8,7.6,21.77,10.39,15.09,1.208,0,Stable,422300
Suburbs,4600,8462,8,5,1.0,1,416,2,0,2009,15,0,10,4,3.9,5.29,13.3,6.02,11.36,1.129,106,Rising,997500
Downtown,974,5656,2,1,1.0,0,0,2,1,2013,11,0,10,4,5.4,1.85,0.79,1.08,0.95,1.328,367,Rising,537500
Downtown,806,5803,1,1,2.0,0,0,2,0,2020,4,0,10,5,5.3,3.3,0.66,0.92,0.94,1.088,323,Stable,445000
Industrial,1919,8821,3,1,1.0,0,0,2,1,1996,28,1,10,1,2.5,7.87,14.29,5.9,9.29,1.015,0,Rising,564500
Suburbs,1741,7009,3,1,3.0,1,532,3,1,2003,21,0,8,3,5.7,3.36,5.75,2.36,6.67,0.997,0,Rising,722500
Suburbs,3290,8970,6,4,1.0,1,1228,2,1,1980,44,1,8,3,4.8,5.25,17.37,7.85,14.97,1.157,0,Declining,804800
Suburbs,3855,5038,5,3,1.0,0,0,2,0,1966,58,0,7,3,4.7,5.03,9.88,5.84,10.06,1.076,0,Rising,884700
Suburbs,689,6496,2,1,1.0,0,0,0,1,1999,25,0,7,3,4.8,3.67,6.63,4.49,8.89,1.058,0,Stable,399800
Downtown,4708,5259,8,5,2.0,0,0,2,0,1956,68,0,5,4,5.1,1.29,2.21,2.5,4.22,1.121,289,Stable,908000
Suburbs,3620,5544,7,5,3.0,1,1014,0,0,1977,47,0,7,4,5.2,4.87,16.44,7.83,14.67,1.129,0,Stable,850700
Downtown,2457,4608,3,1,2.0,1,678,2,0,1959,65,0,6,4,6.0,5.27,2.39,2.67,2.96,1.035,567,Rising,630400
Waterfront,1404,2883,2,1,3.0,0,0,2,1,1976,48,0,9,5,6.0,2.81,6.05,3.45,5.74,1.106,127,Stable,544500
Suburbs,1544,9133,3,2,1.0,0,0,2,0,1962,62,0,6,4,4.9,4.94,12.34,5.3,9.38,1.159,0,Rising,481800
Suburbs,3389,5496,6,3,1.0,0,0,1,0,2015,9,0,8,4,4.9,2.77,6.92,4.14,4.39,0.975,0,Stable,721000
Industrial,4475,9523,8,4,2.5,1,475,2,0,2009,15,0,9,2,2.6,7.03,22.47,10.83,17.63,0.823,0,Stable,756300
Rural,2210,9334,3,2,2.5,0,0,1,0,1992,32,1,9,3,3.7,6.12,39.26,15.0,23.68,1.204,0,Declining,524500
Suburbs,3523,4747,6,4,2.5,1,332,2,0,2018,6,0,9,2,4.1,3.1,6.3,3.02,7.43,1.307,0,Rising,809800
Suburbs,4482,5227,8,5,2.0,1,995,2,1,2012,12,0,9,3,5.6,4.69,13.03,5.74,9.85,1.067,0,Stable,1029300
Suburbs,3821,9586,5,3,1.5,1,456,1,0,2019,5,0,9,4,3.5,4.65,5.22,2.29,3.16,1.183,106,Stable,825200
Rural,4991,9365,8,5,1.0,1,864,3,1,2014,10,0,10,3,3.5,5.9,24.6,10.29,16.21,0.943,0,Stable,863600
Industrial,2987,8542,6,3,3.0,1,501,1,0,2016,8,0,10,1,2.5,7.07,12.98,5.96,9.52,0.897,0,Rising,671600
Rural,1541,4122,2,1,1.0,1,1498,3,1,2003,21,0,8,2,2.3,8.71,57.3,15.0,30.0,0.711,0,Rising,454400
Rural,3166,4254,6,3,1.5,0,0,0,0,1985,39,0,7,1,3.7,5.51,25.51,11.92,18.61,1.178,106,Stable,562600
Rural,1575,9291,3,2,2.0,0,0,1,0,2020,4,0,9,1,1.7,4.89,48.19,15.0,30.0,1.08,0,Declining,402800
Suburbs,1554,9019,2,1,1.0,0,0,1,0,1964,60,0,5,3,5.8,2.78,10.12,4.29,6.71,1.224,106,Rising,561700
Downtown,1862,3167,3,1,2.5,0,0,0,0,1967,57,0,6,4,7.2,3.22,1.45,0.64,2.83,1.278,232,Declining,477000
Rural,1543,4292,3,1,1.0,1,454,2,1,1953,71,1,8,2,2.9,3.2,54.12,15.0,30.0,1.005,0,Stable,365900
Industrial,2802,4992,4,2,2.0,1,588,2,0,1960,64,1,7,2,1.6,6.47,8.68,5.3,9.02,0.926,0,Declining,508500
Suburbs,3927,9723,7,4,2.0,1,557,2,1,1955,69,0,6,4,4.3,3.0,13.69,5.79,9.03,1.147,106,Rising,971100
Rural,4874,9072,8,4,2.0,1,473,1,0,2000,24,0,8,2,3.7,6.18,37.72,15.0,25.6,1.172,0,Stable,861000
Suburbs,2859,6834,6,3,2.0,1,629,2,0,2007,17,0,9,4,4.4,4.1,5.37,2.6,6.72,1.152,0,Stable,647500
Suburbs,2428,5440,4,2,1.0,1,1058,2,0,2009,15,0,10,4,2.6,4.58,6.2,2.52,5.55,1.344,0,Stable,630200
Downtown,1857,2977,4,3,2.0,0,0,2,0,1967,57,0,7,3,5.9,3.66,2.33,1.1,4.56,1.147,153,Stable,590100
Suburbs,1064,5909,1,1,2.0,0,0,2,0,2016,8,0,10,4,5.3,5.54,10.47,5.61,10.1,1.001,106,Rising,486900
Waterfront,3894,6155,6,3,2.0,1,485,2,0,1966,58,0,6,4,6.4,2.08,8.94,3.94,6.28,1.158,473,Stable,858900
Suburbs,1830,6517,3,1,1.0,1,442,1,1,1983,41,1,10,3,5.1,3.37,9.46,4.24,8.68,1.134,106,Rising,608400
Rural,3254,10968,5,3,1.0,0,0,2,0,1979,45,0,7,2,4.1,7.27,28.34,12.09,20.67,1.164,106,Rising,673300
Waterfront,1484,8137,2,1,1.0,0,0,2,0,1968,56,0,6,4,5.9,0.51,5.06,3.34,4.82,1.202,337,Rising,585200
Industrial,4405,11134,7,5,2.0,1,326,2,0,1958,66,1,9,2,3.5,7.99,10.61,5.18,7.18,0.829,106,Rising,934300
Suburbs,4456,12032,8,5,1.0,1,501,1,0,1989,35,0,8,4,4.6,4.34,7.16,4.75,5.73,1.151,106,Stable,992000
Suburbs,3735,9411,7,4,2.5,1,1344,1,1,1993,31,1,8,2,5.5,4.71,14.39,6.62,13.3,1.272,0,Stable,942400
Suburbs,1524,6793,2,1,2.0,1,969,2,1,2008,16,0,8,4,4.6,4.6,12.83,5.53,9.49,1.15,106,Rising,612500
Industrial,2146,10114,3,2,2.0,0,0,1,0,1974,50,1,10,2,3.8,7.25,15.76,7.38,9.99,0.995,0,Stable,533600
Industrial,1694,5533,4,2,2.5,0,0,1,1,2020,4,0,8,1,2.8,7.3,22.64,9.96,14.0,0.972,106,Rising,436000
Suburbs,3011,6376,4,2,1.0,1,771,2,0,2002,22,0,8,3,4.6,2.83,12.01,6.38,8.11,1.129,0,Rising,759900
Waterfront,3217,10677,4,2,2.5,0,0,2,0,1997,27,0,7,5,5.2,1.72,14.61,7.71,9.4,1.49,224,Stable,856800
Suburbs,1362,5997,1,1,2.0,0,0,2,0,2020,4,0,9,5,4.8,6.3,8.3,4.99,7.46,1.281,0,Rising,517400
Rural,2923,5767,5,3,3.0,1,1210,1,1,2002,22,0,8,4,2.4,7.06,25.94,11.15,17.3,1.212,0,Stable,672900
Downtown,4745,12557,8,5,3.0,0,0,3,0,1998,26,0,9,3,6.0,4.19,0.65,0.69,4.6,1.513,261,Rising,1137800
Waterfront,3375,8427,6,3,1.0,0,0,1,0,1992,32,0,8,4,6.5,2.09,12.96,7.01,12.18,1.379,316,Stable,715400
Downtown,3755,5000,7,4,1.5,0,0,2,0,1968,56,0,6,4,6.4,3.01,0.97,1.16,2.95,1.178,139,Rising,887600
Waterfront,4570,11204,8,4,2.0,0,0,3,0,2015,9,0,9,5,6.4,3.13,9.77,5.45,10.3,1.338,218,Rising,1226800
Waterfront,2640,6396,4,2,2.0,1,445,2,1,1983,41,0,8,5,6.1,3.95,7.86,5.12,6.97,1.441,210,Rising,748500
Rural,1183,7832,3,2,1.0,0,0,3,0,2022,2,0,10,2,3.9,6.07,21.98,9.95,16.4,1.078,106,Stable,415800
Downtown,4931,7812,8,5,1.0,1,796,2,0,2003,21,0,9,4,6.7,3.49,1.27,1.47,1.57,1.19,297,Rising,1134100
Suburbs,2703,6102,5,3,1.5,0,0,1,0,1950,74,0,6,3,3.9,5.02,7.32,4.33,4.65,1.287,0,Rising,639700
Suburbs,2542,9510,4,2,2.0,1,1106,1,0,2004,20,0,9,2,5.9,5.29,10.44,4.56,7.06,1.023,106,Rising,745700
Suburbs,709,1847,2,1,3.0,0,0,1,0,1964,60,1,8,3,5.5,3.92,5.31,3.1,4.45,1.164,106,Rising,411300
Downtown,791,8431,1,1,2.0,0,0,0,0,1964,60,1,8,5,5.1,4.45,1.26,1.13,4.51,1.301,552,Rising,438500
Industrial,1503,6646,2,2,1.5,1,1399,2,0,1972,52,1,7,2,1.0,5.38,8.52,3.74,5.98,0.964,0,Rising,529800
Rural,1461,2102,2,1,1.0,0,0,1,0,2015,9,0,9,3,3.8,4.89,35.05,15.0,21.68,1.088,0,Declining,325800
Suburbs,1683,4433,3,2,1.0,1,1027,2,0,1995,29,0,9,3,4.8,4.74,19.77,9.06,16.5,1.215,0,Rising,503300
Suburbs,1249,5674,2,1,2.0,0,0,2,0,1958,66,1,6,3,4.3,4.71,15.18,7.59,12.55,1.206,0,Stable,433800
Suburbs,4734,12233,8,5,2.5,0,0,2,0,2015,9,0,9,3,4.9,3.88,16.16,8.21,12.06,1.131,0,Declining,912500
Rural,4211,5007,6,4,1.5,1,797,3,0,2015,9,0,10,1,3.8,5.72,32.66,13.5,20.07,0.985,0,Rising,811300
Suburbs,1236,7490,3,2,2.0,0,0,1,0,1967,57,0,8,4,3.2,3.65,17.56,8.58,14.79,1.138,0,Stable,436600
Industrial,1636,3341,2,1,3.0,0,0,2,0,1966,58,1,7,2,2.4,6.0,10.05,4.75,6.57,0.838,0,Rising,386600
Suburbs,4731,5792,6,3,3.0,0,0,2,0,2021,3,0,9,3,4.7,4.11,8.54,4.67,8.18,1.288,0,Declining,808600
Industrial,2748,10505,4,2,1.0,0,0,1,1,1983,41,0,7,1,3.4,5.22,19.31,9.42,14.92,1.029,0,Declining,531800
Industrial,4465,7305,8,5,1.0,1,1282,2,0,2018,6,0,10,2,2.9,8.44,10.82,4.84,8.49,0.992,0,Rising,837600
Suburbs,3757,9051,7,4,1.0,1,632,2,1,2013,11,0,9,4,5.2,4.62,9.58,5.03,10.3,1.082,0,Rising,874700
Industrial,4187,10855,7,4,2.0,0,0,2,1,1993,31,0,9,2,2.0,8.64,22.71,10.04,13.88,0.988,106,Rising,795700
Downtown,3894,11330,8,5,3.0,0,0,2,0,1978,46,0,6,5,6.1,3.11,2.83,2.71,5.79,1.236,189,Declining,850700
Waterfront,4861,8792,7,4,1.0,1,443,2,0,2011,13,0,9,4,5.7,2.46,9.74,5.29,8.61,1.206,488,Rising,1130800
Suburbs,3030,9821,4,2,1.0,1,990,2,0,1965,59,0,5,3,4.6,4.32,5.92,3.91,6.61,1.255,0,Declining,629200
Industrial,2479,4230,2,1,3.0,1,1403,1,0,2001,23,0,8,1,2.7,6.24,9.77,4.48,10.8,0.862,106,Stable,522100
Industrial,4566,11728,8,5,2.0,1,356,2,1,1951,73,0,5,1,2.4,5.59,11.47,6.0,9.8,0.884,0,Rising,933000
Waterfront,4313,10249,8,4,3.0,1,607,3,0,2010,14,0,9,4,6.2,1.32,14.43,6.98,12.64,1.361,551,Stable,1015900
Waterfront,4726,8162,8,5,1.5,1,473,3,0,1953,71,1,9,5,6.9,1.99,10.08,4.95,6.82,1.4,528,Rising,1072500
Suburbs,4706,10513,7,4,1.5,1,1049,2,0,2001,23,0,8,4,4.4,3.11,8.91,4.32,9.39,1.178,106,Stable,1126700
Downtown,2611,4547,3,2,1.0,0,0,2,1,1990,34,0,8,4,4.9,4.54,2.72,1.75,5.44,1.126,331,Rising,720200
Suburbs,3973,11025,6,3,1.0,1,977,3,0,2001,23,1,8,2,4.0,3.32,18.27,7.33,15.8,1.282,0,Rising,951800
Suburbs,2743,4392,4,2,2.0,0,0,2,0,1980,44,0,8,4,3.9,4.64,12.18,5.21,11.99,1.171,0,Stable,600100
Rural,3100,9253,6,4,1.5,1,648,2,0,1975,49,1,8,2,4.1,6.95,20.7,8.4,13.49,1.037,0,Stable,745800
Suburbs,1889,2353,4,3,1.0,1,1390,1,0,1976,48,0,8,3,5.1,5.65,5.22,3.78,5.46,1.304,0,Stable,585700
Industrial,2047,4906,3,1,3.0,1,629,3,0,2000,24,1,10,2,3.1,7.9,16.26,8.22,14.31,1.058,0,Stable,463200
Rural,3799,11508,7,4,1.0,0,0,2,0,1997,27,0,8,2,3.6,6.04,21.8,10.41,16.28,0.988,0,Declining,661600
Waterfront,2543,9718,4,3,2.0,1,1478,2,0,1960,64,1,9,5,5.9,4.55,10.91,6.0,8.86,1.093,451,Stable,773500
Downtown,3783,11428,7,4,1.0,0,0,0,0,1957,67,0,5,4,6.8,1.42,0.76,0.75,1.0,1.193,580,Stable,833300
Industrial,3816,6737,5,3,2.5,0,0,2,0,1961,63,1,6,1,1.8,5.96,8.91,4.55,7.1,1.022,106,Rising,771400
Industrial,3736,5398,7,4,1.0,0,0,2,0,1994,30,0,7,2,3.7,7.35,16.37,8.36,13.15,1.039,0,Rising,672300
Suburbs,3918,8370,6,4,2.0,0,0,2,0,1983,41,0,7,4,4.8,4.27,17.09,8.36,14.14,1.027,0,Rising,868800
Rural,3382,5027,6,3,1.0,1,485,1,0,2021,3,0,10,2,4.3,7.23,53.27,15.0,30.0,0.96,0,Stable,708400
Waterfront,1590,4088,2,1,1.5,1,1185,2,0,1996,28,1,10,5,5.3,2.69,6.97,3.71,4.46,0.955,500,Stable,619500
Suburbs,2753,5878,4,2,2.0,1,1164,1,0,1970,54,1,10,4,4.4,4.61,19.17,7.69,14.67,1.185,0,Stable,670300
Suburbs,825,2657,3,2,1.0,0,0,2,0,1990,34,0,8,3,3.5,5.36,8.84,4.1,9.91,0.979,0,Declining,296300
Suburbs,1376,8249,2,1,1.0,0,0,1,0,1971,53,0,6,4,5.4,4.34,17.46,7.86,12.96,1.104,106,Rising,457400
Downtown,3437,6011,5,3,2.5,1,1085,1,0,1970,54,0,8,5,5.8,3.73,1.78,2.5,5.71,1.135,179,Stable,772500
Suburbs,1287,8591,3,1,3.0,0,0,1,0,1977,47,0,7,3,6.1,3.26,7.44,4.28,6.23,1.217,0,Declining,428800
Downtown,1129,6319,1,1,1.0,0,0,1,0,2016,8,0,8,4,5.3,2.09,2.72,1.81,6.06,1.263,291,Rising,516800
Downtown,4042,10482,8,4,1.0,1,1034,0,0,2020,4,0,9,3,6.6,3.97,1.56,1.61,4.87,1.152,567,Stable,944500
Downtown,2753,3465,4,3,1.0,1,853,3,0,1963,61,1,9,4,5.7,3.06,2.64,2.69,6.39,1.24,173,Declining,663700
Industrial,1894,2309,4,2,1.0,0,0,2,0,2022,2,0,10,2,2.3,7.29,24.44,10.38,18.62,1.043,0,Stable,355900
Suburbs,2126,9625,2,1,3.0,0,0,2,1,2001,23,0,7,2,4.5,3.33,8.56,4.65,6.74,1.18,0,Stable,634900
